,time,summary,sunriseTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureHigh.1,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLowTime,apparentTemperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMaxTime,temperatureMax,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2006-01-01 01:00,Possible light rain starting in the afternoon.,2006-01-01 08:00,0.06,0.1572,1.3992,2006-01-01 22:00,0.55,rain,1.9,2006-01-01 19:00,0.54,1.9,2006-01-01 20:00,-0.17,2006-01-01 14:00,2006-01-01 20:00,-3.22,-0.53,0.9,1011.81,2.81,4.4,78,0.98,1,,,-2.29,2006-01-01 01:00,2006-01-02 00:00,2.11,-5.51,2006-01-01 02:00,-0.17,2006-01-01 14:00
1,2006-01-02 01:00,Rain overnight.,2006-01-02 08:00,0.1,0.0486,0.9785,2006-01-03 00:00,0.55,rain,4.02,2006-01-02 15:00,1.03,4.02,2006-01-03 06:00,3.79,2006-01-02 12:00,2006-01-03 06:00,-1.32,2.3,0.95,1010.53,2.59,3.32,71,1.0,1,,,1.88,2006-01-02 03:00,2006-01-02 15:00,4.02,-1.28,2006-01-02 03:00,3.79,2006-01-02 12:00
2,2006-01-03 01:00,Overcast throughout the day.,2006-01-03 08:00,0.14,0.1226,2.9414,2006-01-03 01:00,0.55,rain,1.86,2006-01-03 14:00,1.11,1.86,2006-01-04 09:00,1.86,2006-01-03 14:00,2006-01-03 23:00,-0.95,1.01,0.96,1019.82,1.37,2.21,196,0.99,1,,,0.99,2006-01-03 10:00,2006-01-03 01:00,2.33,-1.32,2006-01-03 06:00,1.86,2006-01-03 14:00
3,2006-01-04 01:00,Overcast throughout the day.,2006-01-04 08:00,0.18,0.0,0.0,,0.0,,2.14,2006-01-04 16:00,0.68,2.14,2006-01-05 00:00,2.08,2006-01-04 15:00,2006-01-05 00:00,-2.68,0.33,0.93,1025.74,1.26,3.0,12,0.97,1,,,0.68,2006-01-05 00:00,2006-01-04 16:00,2.14,-2.68,2006-01-05 00:00,2.08,2006-01-04 15:00
4,2006-01-05 01:00,Overcast throughout the day.,2006-01-05 08:00,0.22,0.0,0.0,,0.0,,3.79,2006-01-05 20:00,3.01,3.79,2006-01-06 06:00,3.79,2006-01-05 20:00,2006-01-06 09:00,-0.53,0.88,0.87,1022.53,2.61,3.76,31,0.93,1,,,1.04,2006-01-05 04:00,2006-01-05 21:00,5.12,-2.21,2006-01-05 02:00,3.79,2006-01-05 20:00
5,2006-01-06 01:00,Overcast throughout the day.,2006-01-06 08:00,0.25,0.0,0.0,,0.0,,3.13,2006-01-06 08:00,0.45,3.13,2006-01-07 06:00,2.96,2006-01-06 18:00,2006-01-07 06:00,-1.87,1.9,0.92,1023.62,2.53,4.41,70,0.99,1,,,2.6,2006-01-07 00:00,2006-01-06 01:00,3.97,-0.73,2006-01-06 11:00,2.96,2006-01-06 18:00
6,2006-01-07 01:00,Mostly cloudy throughout the day.,2006-01-07 08:00,0.29,0.0,0.0,,0.0,,3.36,2006-01-07 14:00,-4.05,3.36,2006-01-08 08:00,0.58,2006-01-07 14:00,2006-01-08 09:00,-7.49,-2.01,0.8,1030.38,2.19,4.91,65,0.6,1,,,-1.55,2006-01-08 00:00,2006-01-07 14:00,3.36,-3.93,2006-01-07 22:00,2.6,2006-01-07 02:00
7,2006-01-08 01:00,Clear throughout the day.,2006-01-08 08:00,0.32,0.0,0.0,,0.0,,1.55,2006-01-08 15:00,-6.33,1.55,2006-01-09 09:00,-0.81,2006-01-08 16:00,2006-01-09 08:00,-9.47,-7.28,0.68,1036.13,1.92,3.43,65,0.07,1,,,-4.46,2006-01-09 00:00,2006-01-08 15:00,1.55,-7.55,2006-01-09 00:00,-0.81,2006-01-08 16:00
8,2006-01-09 01:00,Clear throughout the day.,2006-01-09 08:00,0.35,0.0,0.0,,0.0,,3.66,2006-01-09 14:00,-3.44,3.66,2006-01-09 23:00,3.66,2006-01-09 14:00,2006-01-09 21:00,-4.1,-8.46,0.64,1035.31,1.05,1.93,312,0.1,1,,,-6.33,2006-01-09 09:00,2006-01-09 14:00,3.66,-9.47,2006-01-09 08:00,3.66,2006-01-09 14:00
9,2006-01-10 01:00,Mostly cloudy throughout the day.,2006-01-10 08:00,0.39,0.0,0.0,,0.0,,4.44,2006-01-10 16:00,-4.8,4.44,2006-01-11 08:00,4.44,2006-01-10 16:00,2006-01-11 08:00,-7.62,-6.97,0.63,1033.3,0.81,1.8,312,0.55,1,,,-3.01,2006-01-11 00:00,2006-01-10 16:00,4.44,-5.37,2006-01-11 00:00,4.44,2006-01-10 16:00
